route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,peak_flag,fare_id,wheelchair_accessible,bikes_allowed
100236,14320,353312616,"Redmond","EXPRESS",0,7216026,41545006,0,501,1,1
100236,14320,353312636,"Downtown Seattle","EXPRESS",1,7216024,30545007,0,501,1,1
100236,14320,353312656,"Redmond","EXPRESS",0,7216028,41545006,0,501,1,1
100236,14320,353312686,"Downtown Seattle","EXPRESS",1,7216026,30545007,0,501,1,1
100236,14320,353312706,"Redmond","EXPRESS",0,7216027,41545006,0,501,1,1
100236,14320,353312716,"Downtown Seattle","EXPRESS",1,7216028,30545007,0,501,1,1
100236,14320,353312726,"Downtown Seattle","EXPRESS",1,7216025,30545007,0,501,1,1
100236,14320,353312736,"Redmond","EXPRESS",0,7216024,41545006,0,501,1,1
100236,14320,353312786,"Redmond","EXPRESS",0,7216028,41545006,0,501,1,1
100236,14320,353312806,"Downtown Seattle","EXPRESS",1,7216027,30545007,0,501,1,1
100236,14320,353312826,"Redmond","EXPRESS",0,7216025,41545006,0,501,1,1
100236,14320,353312836,"Redmond","EXPRESS",0,7216026,41545006,0,501,1,1
100236,14320,353312846,"Downtown Seattle","EXPRESS",1,7216029,30545007,0,501,1,1
100236,14320,353312856,"Downtown Seattle","EXPRESS",1,7216030,30545007,0,501,1,1
100236,14320,353312866,"Redmond","EXPRESS",0,7216027,41545006,0,501,1,1
100236,14320,353312916,"Downtown Seattle","EXPRESS",1,7216028,30545007,0,501,1,1
